Jobs,Relevant Minor Categories,,,,,,,,,,,,
Accountants & Auditors,Accounting & Finance,Statistics & Data Science,Economics,Management & Information Systems,Applied & General Mathematics,Politics & Public Policy,Specializations & Business,,,,,,
Actors,Cinema & Visual Arts,Performing Arts,General Art,,,,,,,,,,
Actuaries,Accounting & Finance,Statistics & Data Science,Specializations & Business,Applied & General Mathematics,Economics,,,,,,,,
Acupuncturists,Athletic & Bodily Science,Medical Sciences,Biology,,,,,,,,,,
Acute Care Nurses,Biology,Medical Sciences,Athletic & Bodily Science,Social Services,,,,,,,,,
Adapted Physical Education Specialists,Medical Sciences,Athletic & Bodily Science,Education,Social Services,,,,,,,,,
"Administrative Law Judges, Adjudicators, & Hearing Officers",Law & Criminology,Social Services,Politics & Public Policy,Sociology,,,,,,,,,
Administrative Services Managers,Management & Information Systems,Specializations & Business,Accounting & Finance,,,,,,,,,,
"Adult Basic Education, Adult Secondary Education, & English as a Second Language Instructors",Education,Language & Literature,General Humanities,Applied & General Mathematics,Linguistics,Sociology,Biology,Earth Sciences,Chemistry,Physics & Astronomy,Anthropology & History,,
Advanced Practice Psychiatric Nurses,Biology,Medical Sciences,Psychology,Social Services,,,,,,,,,
Advertising & Promotions Managers,Design,Cinema & Visual Arts,Communication & Journalism,Sociology,Marketing & Consumer Services,Management & Information Systems,Specializations & Business,,,,,,
Aerospace Engineers,Specializations & Engineering,Electrical & Mechanical Engineering,Computer Science and Engineering,Applied & General Mathematics,Physics & Astronomy,Earth Sciences,,,,,,,
"Agents & Business Managers of Artists, Performers, & Athletes",General Art,Design,Music,Cinema & Visual Arts,Performing Arts,Communication & Journalism,Specializations & Business,Marketing & Consumer Services,Management & Information Systems,Athletic & Bodily Science,Accounting & Finance,,
Agricultural Engineers,Agriculture & Food Science,Environmental Science & Studies,Animal Science,Specializations & Engineering,Applied & General Mathematics,Chemistry,Biology,Earth Sciences,Electrical & Mechanical Engineering,Statistics & Data Science,Computer Science and Engineering,,
Agricultural Inspectors,Agriculture & Food Science,Politics & Public Policy,Animal Science,Law & Criminology,Environmental Science & Studies,,,,,,,,
"Agricultural Sciences Teachers, Postsecondary",Education,Agriculture & Food Science,Animal Science,Environmental Science & Studies,,,,,,,,,
Agricultural Technicians,Agriculture & Food Science,Applied & General Mathematics,Biology,Chemistry,Statistics & Data Science,Environmental Science & Studies,Animal Science,Earth Sciences,,,,,
"Airline Pilots, Copilots, & Flight Engineers",Social Services,Applied & General Mathematics,Physics & Astronomy,,,,,,,,,,
Allergists & Immunologists,Medical Sciences,Biology,Chemistry,,,,,,,,,,
Anesthesiologists,Medical Sciences,Biology,Chemistry,,,,,,,,,,
Animal Scientists,Animal Science,Biology,Chemistry,Applied & General Mathematics,Agriculture & Food Science,,,,,,,,
Anthropologists & Archeologists,Cultural & Ethnic Studies,Feminist & Gender Studies,Philosophy & Religion,Language & Literature,Anthropology & History,General Humanities,Sociology,Linguistics,,,,,
"Anthropology & Archeology Teachers, Postsecondary",Education,Cultural & Ethnic Studies,Feminist & Gender Studies,Philosophy & Religion,Language & Literature,Anthropology & History,General Humanities,Sociology,Linguistics,,,,
Appraisers & Assessors of Real Estate,Specializations & Business,Statistics & Data Science,Accounting & Finance,Management & Information Systems,Economics,Applied & General Mathematics,,,,,,,
Appraisers of Personal & Business Property,Specializations & Business,Statistics & Data Science,Accounting & Finance,Management & Information Systems,Anthropology & History,Economics,Applied & General Mathematics,,,,,,
"Arbitrators, Mediators, & Conciliators",Politics & Public Policy,Psychology,Law & Criminology,Social Services,,,,,,,,,
Architects,City Planning & Architecture,Design,Applied & General Mathematics,Physics & Astronomy,,,,,,,,,
Architectural & Engineering Managers,Management & Information Systems,City Planning & Architecture,Design,Politics & Public Policy,Applied & General Mathematics,Physics & Astronomy,Specializations & Engineering,Electrical & Mechanical Engineering,Computer Science and Engineering,,,,
"Architecture Teachers, Postsecondary",City Planning & Architecture,Design,Applied & General Mathematics,Physics & Astronomy,Education,,,,,,,,
Archivists,Communication & Journalism,Cultural & Ethnic Studies,Feminist & Gender Studies,Philosophy & Religion,Language & Literature,Anthropology & History,General Humanities,Sociology,Linguistics,Cinema & Visual Arts,General Art,Music,Performing Arts
"Area, Ethnic, & Cultural Studies Teachers, Postsecondary",Education,Cultural & Ethnic Studies,Feminist & Gender Studies,Philosophy & Religion,Language & Literature,Anthropology & History,General Humanities,Sociology,Linguistics,Communication & Journalism,,,
Art Directors,General Art,Cinema & Visual Arts,Design,Communication & Journalism,General Humanities,Anthropology & History,Performing Arts,Management & Information Systems,Marketing & Consumer Services,Cultural & Ethnic Studies,Philosophy & Religion,Language & Literature,
Art Therapists,Psychology,Medical Sciences,General Art,Cinema & Visual Arts,Design,Performing Arts,Sociology,Anthropology & History,Social Services,General Humanities,,,
"Art, Drama, & Music Teachers, Postsecondary",Education,General Art,Music,Cinema & Visual Arts,Performing Arts,,,,,,,,
Astronomers,Physics & Astronomy,Applied & General Mathematics,Statistics & Data Science,Specializations & Engineering,Electrical & Mechanical Engineering,,,,,,,,
Athletes & Sports Competitors,Athletic & Bodily Science,,,,,,,,,,,,
Athletic Trainers,Athletic & Bodily Science,Psychology,Medical Sciences,,,,,,,,,,
Atmospheric & Space Scientists,Environmental Science & Studies,Earth Sciences,Physics & Astronomy,Applied & General Mathematics,Statistics & Data Science,,,,,,,,
"Atmospheric, Earth, Marine, & Space Sciences Teachers, Postsecondary",Education,Environmental Science & Studies,Biology,Physics & Astronomy,Chemistry,Earth Sciences,,,,,,,
Audio & Video Technicians,Information & Technology,Cinema & Visual Arts,Computer Science and Engineering,Music,,,,,,,,,
Audiologists,Medical Sciences,Biology,Linguistics,,,,,,,,,,
Automotive Engineers,Specializations & Engineering,Electrical & Mechanical Engineering,Applied & General Mathematics,Physics & Astronomy,,,,,,,,,
Bakers,Food & Nutrition,Agriculture & Food Science,,,,,,,,,,,
Biochemists & Biophysicists,Biology,Chemistry,Physics & Astronomy,Applied & General Mathematics,,,,,,,,,
Bioengineers & Biomedical Engineers,Biology,Chemistry,Physics & Astronomy,Applied & General Mathematics,Specializations & Engineering,Medical Sciences,Computer Science and Engineering,,,,,,
Biofuels/Biodiesel Technology & Product Development Managers,Electrical & Mechanical Engineering,Specializations & Engineering,Chemistry,Biology,Applied & General Mathematics,Statistics & Data Science,,,,,,,
Bioinformatics Scientists,Biology,Chemistry,Applied & General Mathematics,Information & Technology,Specializations & Engineering,Computer Science and Engineering,Medical Sciences,Electrical & Mechanical Engineering,Statistics & Data Science,,,,
"Biological Science Teachers, Postsecondary",Education,Biology,Chemistry,,,,,,,,,,
Biologists,Biology,Chemistry,Applied & General Mathematics,Statistics & Data Science,,,,,,,,,
Biomass Power Plant Managers,Management & Information Systems,Biology,Chemistry,Electrical & Mechanical Engineering,Specializations & Engineering,Environmental Science & Studies,Earth Sciences,,,,,,
Biostatisticians,Biology,Statistics & Data Science,Applied & General Mathematics,,,,,,,,,,
Broadcast Announcers & Radio Disc Jockeys,Cinema & Visual Arts,Communication & Journalism,Language & Literature,General Humanities,,,,,,,,,
Brokerage Clerks,Management & Information Systems,Accounting & Finance,Economics,Specializations & Business,,,,,,,,,
Budget Analysts,Accounting & Finance,Economics,Statistics & Data Science,Applied & General Mathematics,,,,,,,,,
Business Continuity Planners,Management & Information Systems,Statistics & Data Science,Specializations & Business,,,,,,,,,,
Business Intelligence Analysts,Economics,Statistics & Data Science,Information & Technology,Specializations & Business,Accounting & Finance,,,,,,,,
"Business Teachers, Postsecondary",Education,Specializations & Business,Management & Information Systems,Accounting & Finance,Marketing & Consumer Services,Economics,,,,,,,
"Buyers & Purchasing Agents, Farm Products",Agriculture & Food Science,Economics,Accounting & Finance,Marketing & Consumer Services,Management & Information Systems,Specializations & Business,,,,,,,
"Camera Operators, Television, Video, & Film",Cinema & Visual Arts,General Art,,,,,,,,,,,
Cardiologists,Biology,Medical Sciences,,,,,,,,,,,
"Career/Technical Education Teachers, Middle School",Education,Social Services,,,,,,,,,,,
"Career/Technical Education Teachers, Postsecondary",Education,Social Services,,,,,,,,,,,
"Career/Technical Education Teachers, Secondary School",Education,Social Services,,,,,,,,,,,
Cargo & Freight Agents,Specializations & Business,Management & Information Systems,,,,,,,,,,,
Cartographers & Photogrammetrists,Earth Sciences,City Planning & Architecture,Anthropology & History,Politics & Public Policy,Sociology,,,,,,,,
Chefs & Head Cooks,Agriculture & Food Science,Food & Nutrition,,,,,,,,,,,
Chemical Engineers,Chemistry,Physics & Astronomy,Specializations & Engineering,,,,,,,,,,
"Chemistry Teachers, Postsecondary",Education,Chemistry,,,,,,,,,,,
Chemists,Chemistry,,,,,,,,,,,,
Chief Sustainability Officers,Environmental Science & Studies,Economics,City Planning & Architecture,Politics & Public Policy,Management & Information Systems,Specializations & Business,,,,,,,
"Child, Family, & School Social Workers",Sociology,Education,Psychology,Social Services,,,,,,,,,
Chiropractors,Athletic & Bodily Science,Medical Sciences,Biology,,,,,,,,,,
Choreographers,Performing Arts,Athletic & Bodily Science,,,,,,,,,,,
Civil Engineers,City Planning & Architecture,Applied & General Mathematics,Statistics & Data Science,,,,,,,,,,
"Claims Adjusters, Examiners, & Investigators",Management & Information Systems,Economics,Law & Criminology,Accounting & Finance,,,,,,,,,
Clergy,Philosophy & Religion,,,,,,,,,,,,
Climate Change Policy Analysts,Environmental Science & Studies,Politics & Public Policy,Sociology,Statistics & Data Science,Earth Sciences,,,,,,,,
Clinical & Counseling Psychologists,Psychology,,,,,,,,,,,,
Clinical Data Managers,Management & Information Systems,Medical Sciences,Biology,Information & Technology,Statistics & Data Science,,,,,,,,
Clinical Nurse Specialists,Medical Sciences,Biology,,,,,,,,,,,
Clinical Research Coordinators,Management & Information Systems,Medical Sciences,Biology,Information & Technology,,,,,,,,,
Coaches & Scouts,Athletic & Bodily Science,,,,,,,,,,,,
Commercial & Industrial Designers,Design,Specializations & Engineering,Marketing & Consumer Services,General Art,,,,,,,,,
Commercial Pilots,Social Services,,,,,,,,,,,,
"Communications Teachers, Postsecondary",Education,Communication & Journalism,General Humanities,Anthropology & History,Language & Literature,Philosophy & Religion,Feminist & Gender Studies,Cultural & Ethnic Studies,,,,,
Community Health Workers,Politics & Public Policy,Medical Sciences,Sociology,Athletic & Bodily Science,Social Services,,,,,,,,
"Compensation, Benefits, & Job Analysis Specialists",Management & Information Systems,Economics,Applied & General Mathematics,Statistics & Data Science,Accounting & Finance,,,,,,,,
Compliance Managers,Management & Information Systems,Politics & Public Policy,Law & Criminology,Specializations & Business,,,,,,,,,
Computer & Information Research Scientists,Computer Science and Engineering,Statistics & Data Science,Applied & General Mathematics,,,,,,,,,,
Computer & Information Systems Managers,Computer Science and Engineering,Information & Technology,,,,,,,,,,,
Computer Hardware Engineers,Computer Science and Engineering,Electrical & Mechanical Engineering,,,,,,,,,,,
Computer Network Architects,Computer Science and Engineering,,,,,,,,,,,,
Computer Network Support Specialists,Computer Science and Engineering,,,,,,,,,,,,
Computer Programmers,Computer Science and Engineering,,,,,,,,,,,,
"Computer Science Teachers, Postsecondary",Computer Science and Engineering,Education,Applied & General Mathematics,,,,,,,,,,
Computer Systems Analysts,Computer Science and Engineering,Applied & General Mathematics,Statistics & Data Science,,,,,,,,,,
Computer Systems Engineers/Architects,Computer Science and Engineering,,,,,,,,,,,,
Conservation Scientists,Environmental Science & Studies,Earth Sciences,Biology,Chemistry,Applied & General Mathematics,Statistics & Data Science,,,,,,,
Construction & Building Inspectors,City Planning & Architecture,Specializations & Business,Specializations & Engineering,,,,,,,,,,
Construction Managers,City Planning & Architecture,Specializations & Business,Specializations & Engineering,,,,,,,,,,
"Cooks, Private Household",Agriculture & Food Science,Food & Nutrition,,,,,,,,,,,
"Cooks, Restaurant",Agriculture & Food Science,Food & Nutrition,,,,,,,,,,,
Coroners,Law & Criminology,Biology,Chemistry,Anthropology & History,Medical Sciences,,,,,,,,
Cost Estimators,Applied & General Mathematics,Accounting & Finance,Economics,Specializations & Business,Statistics & Data Science,,,,,,,,
Costume Attendants,Design,General Art,Performing Arts,Cinema & Visual Arts,,,,,,,,,
Craft Artists,Design,General Art,Cinema & Visual Arts,,,,,,,,,,
Credit Analysts,Accounting & Finance,Economics,Statistics & Data Science,Applied & General Mathematics,,,,,,,,,
"Criminal Justice & Law Enforcement Teachers, Postsecondary",Education,Law & Criminology,Politics & Public Policy,Sociology,,,,,,,,,
Critical Care Nurses,Medical Sciences,Biology,,,,,,,,,,,
Curators,General Humanities,Cinema & Visual Arts,Music,Design,General Art,Cultural & Ethnic Studies,Feminist & Gender Studies,Philosophy & Religion,Language & Literature,Anthropology & History,Performing Arts,Linguistics,Communication & Journalism
Cytogenetic Technologists,Biology,Chemistry,Medical Sciences,,,,,,,,,,
Cytotechnologists,Biology,Chemistry,Medical Sciences,,,,,,,,,,
Dancers,Performing Arts,,,,,,,,,,,,
Data Scientists,Statistics & Data Science,Applied & General Mathematics,Information & Technology,,,,,,,,,,
Data Warehousing Specialists,Statistics & Data Science,Applied & General Mathematics,Information & Technology,,,,,,,,,,
Database Administrators,Statistics & Data Science,Computer Science and Engineering,,,,,,,,,,,
Database Architects,Statistics & Data Science,Computer Science and Engineering,,,,,,,,,,,
"Dentists, General",Biology,Medical Sciences,,,,,,,,,,,
Dermatologists,Biology,Medical Sciences,,,,,,,,,,,
Desktop Publishers,Computer Science and Engineering,Design,,,,,,,,,,,
Detectives & Criminal Investigators,Law & Criminology,Psychology,,,,,,,,,,,
Dietitians & Nutritionists,Food & Nutrition,Medical Sciences,Biology,,,,,,,,,,
Digital Forensics Analysts,Law & Criminology,Computer Science and Engineering,,,,,,,,,,,
"Directors, Religious Activities & Education",Education,Philosophy & Religion,,,,,,,,,,,
Disc Jockeys,Music,,,,,,,,,,,,
Document Management Specialists,Management & Information Systems,Information & Technology,,,,,,,,,,,
"Economics Teachers, Postsecondary",Education,Economics,Applied & General Mathematics,Statistics & Data Science,,,,,,,,,
Economists,Economics,General Business,Accounting & Finance,Statistics & Data Science,Applied & General Mathematics,,,,,,,,
Editors,Language & Literature,Communication & Journalism,,,,,,,,,,,
"Education & Childcare Administrators, Preschool & Daycare",Education,Psychology,Social Services,,,,,,,,,,
"Education Administrators, Kindergarten through Secondary",Education,Psychology,Social Services,,,,,,,,,,
"Education Administrators, Postsecondary",Education,Psychology,Social Services,,,,,,,,,,
