Agriculture and Environmental Studies,Agriculture and Environmental Studies,Agriculture and Environmental Studies,Agriculture and Environmental Studies,Agriculture and Environmental Studies,Agriculture and Environmental Studies,Agriculture and Environmental Studies,Agriculture and Environmental Studies,Agriculture and Environmental Studies,Arts & Design,Arts & Design,Arts & Design,Arts & Design,Arts & Design,Arts & Design,Arts & Design,Arts & Design,Arts & Design,Arts & Design,Arts & Design,Arts & Design,Arts & Design,Arts & Design,Arts & Design,Human & Public Services,Human & Public Services,Human & Public Services,Human & Public Services,Human & Public Services,Human & Public Services,Human & Public Services,Human & Public Services,Human & Public Services,Natural Sciences,Natural Sciences,Natural Sciences,Natural Sciences,Natural Sciences,Natural Sciences,Natural Sciences,Natural Sciences,Natural Sciences,Natural Sciences,Natural Sciences,Natural Sciences,Engineering & Technology,Engineering & Technology,Engineering & Technology,Engineering & Technology,Engineering & Technology,Engineering & Technology,Engineering & Technology,Engineering & Technology,Engineering & Technology,Engineering & Technology,Engineering & Technology,Engineering & Technology,Engineering & Technology,Engineering & Technology,Engineering & Technology,Humanities,Humanities,Humanities,Humanities,Humanities,Humanities,Humanities,Humanities,Humanities,Humanities,Humanities,Humanities,Humanities,Humanities,Humanities,Humanities,Humanities,Humanities,Humanities,Humanities,Humanities,Social & Political Sciences,Social & Political Sciences,Social & Political Sciences,Social & Political Sciences,Social & Political Sciences,Social & Political Sciences,Social & Political Sciences,Social & Political Sciences,Social & Political Sciences,Business & Management,Business & Management,Business & Management,Business & Management,Business & Management,Business & Management,Business & Management,Business & Management,Business & Management,Business & Management,Business & Management,Business & Management,Health & Psychology,Health & Psychology,Health & Psychology,Health & Psychology,Health & Psychology,Health & Psychology,Health & Psychology,Health & Psychology,Health & Psychology,Health & Psychology,Health & Psychology,Health & Psychology,Mathematics & Economics,Mathematics & Economics,Mathematics & Economics,Mathematics & Economics,Mathematics & Economics,Mathematics & Economics,Mathematics & Economics,Mathematics & Economics,Mathematics & Economics,,
Agriculture & Food Science,Agriculture & Food Science,Agriculture & Food Science,Environmental Science & Studies,Environmental Science & Studies,Environmental Science & Studies,Animal Science,Animal Science,Animal Science,General Art,General Art,General Art,Design,Design,Design,Music,Music,Music,Cinema & Visual Arts,Cinema & Visual Arts,Cinema & Visual Arts,Performing Arts,Performing Arts,Performing Arts,Education,Education,Education,Law & Criminology,Law & Criminology,Law & Criminology,Social Services,Social Services,Social Services,Earth Sciences,Earth Sciences,Earth Sciences,Physics & Astronomy,Physics & Astronomy,Physics & Astronomy,Biology,Biology,Biology,Chemistry,Chemistry,Chemistry,Information & Technology,Information & Technology,Information & Technology,Specializations & Engineering,Specializations & Engineering,Specializations & Engineering,Electrical & Mechanical Engineering,Electrical & Mechanical Engineering,Electrical & Mechanical Engineering,Computer Science and Engineering,Computer Science and Engineering,Computer Science and Engineering,City Planning & Architecture,City Planning & Architecture,City Planning & Architecture,Cultural & Ethnic Studies,Cultural & Ethnic Studies,Cultural & Ethnic Studies,Feminist & Gender Studies,Feminist & Gender Studies,Feminist & Gender Studies,Philosophy & Religion,Philosophy & Religion,Philosophy & Religion,Language & Literature,Language & Literature,Language & Literature,Anthropology & History,Anthropology & History,Anthropology & History,General Humanities,General Humanities,General Humanities,Communication & Journalism,Communication & Journalism,Communication & Journalism,Politics & Public Policy,Politics & Public Policy,Politics & Public Policy,Sociology,Sociology,Sociology,Linguistics,Linguistics,Linguistics,Management & Information Systems,Management & Information Systems,Management & Information Systems,Accounting & Finance,Accounting & Finance,Accounting & Finance,Marketing & Consumer Services,Marketing & Consumer Services,Marketing & Consumer Services,Specializations & Business,Specializations & Business,Specializations & Business,Food & Nutrition,Food & Nutrition,Food & Nutrition,Psychology,Psychology,Psychology,Medical Sciences,Medical Sciences,Medical Sciences,Athletic & Bodily Science,Athletic & Bodily Science,Athletic & Bodily Science,Statistics & Data Science,Statistics & Data Science,Statistics & Data Science,Applied & General Mathematics,Applied & General Mathematics,Applied & General Mathematics,Economics,Economics,Economics,,
"California State Polytechnic University, Pomona",Agribusiness and Food Industry Management (Agribusiness and Food Industry Management - General),52,University of California-Los Angeles,Climate Science,1031,University of California-Davis,Animal Biology,91,University of California-Berkeley,Ancient Egyptian and Near Eastern Art and Archaeology,88,San Francisco State University,Apparel Design/Merchandising (Design),166,University of California-Los Angeles,Global Jazz Studies,1936,San Francisco State University,Cinema (Cinema - General),978,"California State University, Sacramento",Music (Voice),2924,"California State University, Northridge",Africana Studies (African-American Urban Education),50,"California State University, Northridge",Business Administration (Business Law),601,"California State University, Monterey Bay",Collaborative Health and Human Services (Interdisciplinary Concentration),1049,"California State University, Monterey Bay",Agricultural Plant and Soil Sciences (Agricultural Plant and Soil Sciences - General),61,University of California-Irvine,Applied Physics,183,University of California-Davis,Animal Biology,91,University of California-Davis,Applied Chemistry,171,"California State University, San Bernardino",Administration (Information Systems and Technology),12,University of California-Irvine,Aerospace Engineering,25,California State University San Marcos,Applied Physics (Applied Electronics),185,"California State University, East Bay",Art (Interaction and Game Design),260,"California Polytechnic State University, San Luis Obispo",Architectural Engineering (Architectural Engineering - General),195,University of California-Santa Barbara,Black Studies,546,University of California-San Diego,Critical Gender Studies,1273,"California State University, Monterey Bay",Humanities and Communication (Philosophy and Applied Ethics),2105,University of California-Los Angeles,Arabic,193,University of California-Berkeley,Anthropology,109,"California State University, Northridge",Africana Studies (African and African-American Humanities and Cultural Studies),44,"California Polytechnic State University, San Luis Obispo",Agricultural Communication (Agricultural Communication - General),60,University of California-Davis,International Relations,2197,"California State Polytechnic University, Humboldt",Cannabis Studies (Environmental Stewardship),790,"California State University, Long Beach",American Sign Language Linguistics and Deaf Cultures (American Sign Language Linguistics and Deaf Cultures - General),81,"California State University, Chico",Business Information Systems (Business Analytics),784,"California State University, Northridge",Accountancy (Information Systems),0,"California State University, San Bernardino",Administration (Marketing),16,"California State University, Dominguez Hills",Negotiation Conflict Resolution and Peacebuilding (Negotiation Conflict Resolution and Peacebuilding - General),2956,"California State Polytechnic University, Pomona",Agribusiness and Food Industry Management (Agribusiness and Food Industry Management - General),52,University of California-Santa Barbara,Biopsychology,539,San Diego State University,Speech Language and Hearing Sciences (General),3646,"California State University, San Bernardino",Kinesiology (Allied Health Professions),2277,"California State University, Long Beach",Applied Statistics (Applied Statistics - General),188,University of California-Merced,Applied Mathematical Sciences,176,"California State University, Fullerton",Business Administration (Business and Economics Analytics),597,,
"California State University, Monterey Bay",Business Administration (Agribusiness),583,San José State University,Climate Science (Climate Science - General),1032,University of California-Davis,Animal Biology,92,University of California-Berkeley,Ancient Egyptian and Near Eastern Art and Archaeology,89,San Francisco State University,Apparel Design/Merchandising (Merchandising),167,University of California-Los Angeles,Global Jazz Studies,1937,University of California-Davis,Cinema and Digital Media,979,"California State University, Bakersfield",Art (Art (Studio/Professional Performance)),215,University of California-Davis,Agricultural and Environmental Education,53,"California State Polytechnic University, Pomona",Business Administration (Finance Real Estate and Law),627,"California State University, Monterey Bay",Collaborative Health and Human Services (Public Administration & NonProfit Management),1050,"California Polytechnic State University, San Luis Obispo",Environmental Earth and Soil Sciences (Geology),1585,University of California-Santa Cruz,Applied Physics,184,University of California-Davis,Animal Biology,92,University of California-Davis,Applied Chemistry,172,"California State University, Fresno",Animal Science (Meat Technology),102,University of California-Los Angeles,Aerospace Engineering,26,San Francisco State University,Broadcast and Electronic Communication Arts (Broadcast and Electronic Communication Arts - General),549,"California State University, Fullerton",Art (Studio/Performance) (Computer Animation and Game Art),288,University of California-Los Angeles,Architectural Studies,196,"California State University, East Bay",Ethnic Studies (Black Studies (Online Degree Completion)),1688,"California State Polytechnic University, Humboldt",Critical Race Gender and Sexuality Studies (Critical Race Gender and Sexuality Studies),1279,University of California-San Diego,International Studies: Philosophy,2219,"California State University, San Bernardino",Arabic Language Literature and Culture (General),194,University of California-Davis,Anthropology,110,University of California-Los Angeles,Asian Humanities,338,"California State University, Chico",Agricultural Science (Agricultural Communication and Leadership),62,"California State University, Chico",International Relations (International Relations - General),2198,"California State Polytechnic University, Humboldt",Cannabis Studies (Equity and Social Justice),791,"California State University, Long Beach",American Sign Language Linguistics and Deaf Cultures (ASL-English Interpreting),82,"California State University, Chico",Business Information Systems (Management Information Systems),785,"California State University, Northridge",Accountancy (Professional Accountancy),1,California State University Channel Islands,Business (Marketing),558,San José State University,Aviation (Aviation - General),366,"California State University, Bakersfield",Biochemistry (Food Science),388,University of California-San Diego,Business Psychology,788,San Francisco State University,Speech Language and Hearing Sciences (Speech Language and Hearing Sciences),3647,"California State University, Bakersfield",Kinesiology (Allied Health),2278,Sonoma State University,Applied Statistics (Applied Statistics - General),189,University of California-Merced,Applied Mathematical Sciences,177,"California State University, East Bay",Business Administration (Business Economics),598,,
University of California-Davis,Agricultural and Environmental Education,53,"California State Polytechnic University, Humboldt",Environmental Science & Management (Energy and Climate),1616,"California State Polytechnic University, Pomona",Animal Health Science (Animal Health Science - General),93,University of California-Berkeley,"Art, History of",201,"California State University, East Bay",Art (3D Art & Design),208,"California State University, Stanislaus",Music (Jazz Performance),2844,University of California-Davis,Cinema and Digital Media,980,"California State University, Fullerton",Art (Studio/Performance) (Ceramics),287,University of California-Davis,Agricultural and Environmental Education,54,"California State University, Stanislaus",Criminal Justice (Law Enforcement),1255,"California State University, Monterey Bay",Collaborative Health and Human Services (Public Health),1051,"California Polytechnic State University, San Luis Obispo",Environmental Earth and Soil Sciences (Hydrology),1586,California State University San Marcos,Applied Physics (Applied Electronics),185,"California State University, Sacramento",Anthropology (Archaeology and Biological Anthropology),133,University of California-Davis,Applied Chemistry,173,University of California-San Diego,Bioengineering: Biotechnology,412,University of California-San Diego,Aerospace Engineering,27,"California State University, Sacramento",Electrical and Electronic Engr (Electrical and Electronic Engr - General),1456,University of California-Santa Cruz,Art and Design: Games and Playable Media,304,"California State University, Fresno",Architectural Studies (Architectural Studies - General),197,"California State University, East Bay",Ethnic Studies (Black Studies),1689,"California State University, Monterey Bay",Ethnic and Gender Studies (Ethnic and Gender Studies - General),1675,"California State University, Stanislaus",Liberal Studies (Applied Philosophy),2401,San Diego State University,Islamic and Arabic Studies (Islamic and Arabic Studies - General),2224,University of California-Davis,Anthropology,111,San Diego State University,Classics (Classical Humanities),1025,"California State University, Fresno",Agricultural Science/Education (Agricultural Communications),66,"California State University, Sacramento",International Relations (International Relations - General),2199,"California State Polytechnic University, Humboldt",Anthropology (Sociocultural Anthropology),158,University of California-Santa Cruz,Applied Linguistics and Multilingualism,175,"California State University, Chico",Business Information Systems (Operations and Supply Chain Management),786,"California State University, San Bernardino",Administration (Accounting),3,San Diego State University,Business Administration (Marketing (Integrated Marketing Communications)),718,"California State University, Los Angeles",Aviation Administration (Aviation Administration - General),367,"California State University, Long Beach",Dietetics and Food Administration (Nutrition and Dietetics),1324,University of California-San Diego,Business Psychology,789,"California State University, Chico",Communication Sciences and Disorders (Communication Sciences and Disorders - General),1084,"California State University, Bakersfield",Kinesiology (Applied Exercise Science),2279,University of California-Santa Barbara,Financial Mathematics and Statistics,1748,University of California-Merced,Applied Mathematical Sciences,178,"California State University, Fullerton",Business Administration (Business Economics),599,,
University of California-Davis,Agricultural and Environmental Education,54,"California State University, Chico",Environmental Science (Atmosphere and Climate),1621,University of California-Davis,Animal Science,94,University of California-Berkeley,"Art, Practice of",202,San Diego State University,Art (Applied Design),214,"California State University, Fresno",Music (Jazz Studies),2845,"California State University, Fullerton",Cinema and Television Arts (Cinema and Television Arts - General),981,"California State University, Fullerton",Art (Studio/Performance) (Computer Animation and Game Art),288,University of California-Davis,Agricultural and Environmental Education,55,"California State University, Stanislaus",Criminal Justice (Law Enforcement),1256,"California State University, Monterey Bay",Collaborative Health and Human Services (Social Work),1052,"California State Polytechnic University, Humboldt",Forestry (Forest Soils),1782,California State University Channel Islands,Applied Physics (Applied Physics),186,"California State University, East Bay",Anthropology (Archeology and Biological Anthropology),139,University of California-Davis,Biochemical Engineering,371,"California State University, Fullerton",Biological Science (Molecular Biology and Biotechnology),423,"California Polytechnic State University, San Luis Obispo",Aerospace Engineering (Aeronautics),28,University of California-Davis,Electrical Engineering,1457,University of California-Santa Cruz,Art and Design: Games and Playable Media,305,University of California-Berkeley,Architecture,198,"California State University, East Bay",Ethnic Studies (Black Studies),1690,"California State University, East Bay",Ethnic Studies (Genders and Sexualities in Communities of Color (Online Degree Completion)),1701,University of California-Los Angeles,Linguistics and Philosophy,2568,San Diego State University,Asian Studies (Chinese Language),347,University of California-Irvine,Anthropology,112,San José State University,Humanities (American Studies),2089,"California State University, Los Angeles",Art (Graphic Design-Visual Communication),257,San Francisco State University,International Relations (International Relations),2200,California State University San Marcos,Anthropology (Sociocultural Anthropology),159,University of California-Los Angeles,Asian Languages and Linguistics,339,"California State University, San Bernardino",Administration (Hospitality Management),9,"California State University, Fresno",Business Administration (Accountancy),562,San Diego State University,Business Administration (Marketing (Professional Selling and Sales Management)),719,"California State University, Chico",Concrete Industry Management (Concrete Industry Management - General),1221,University of California-Davis,Food Science,1758,"California State University, Long Beach",Kinesiology (Sport Psychology and Leadership),2337,"California State University, Sacramento",Communication Sciences and Disorders (Communication Sciences and Disorders),1085,"California State University, Northridge",Kinesiology (Applied Fitness and Active Lifestyle Development),2280,University of California-San Diego,Mathematics â€” Probability and Statistics,2640,University of California-Merced,Applied Mathematical Sciences,179,"California State University, Los Angeles",Business Administration (Business Economics),600,,
University of California-Davis,Agricultural and Environmental Education,55,San Diego State University,Geography (Water Climate and Ecosystems),1860,University of California-Davis,Animal Science,95,University of California-Irvine,Art,203,"California State University, Dominguez Hills",Art (Design Option),242,"California State University, Los Angeles",Music (Jazz Studies),2846,"California State University, Northridge",Cinema and Television Arts (Emerging Media Production),982,"California State University, Fullerton",Art (Studio/Performance) (Creative Photography and Experimental Media),289,"California State University, Chico",Agricultural Science (Agricultural Science and Education),64,University of California-Irvine,"Criminology, Law and Society",1261,"California State University, Fullerton",Human Services (Addiction Studies),2083,"California State University, Chico",Plant and Soil Science (Crops and Horticulture),3208,California State University San Marcos,Applied Physics (General),187,"California State University, Stanislaus",Anthropology (Biological Anthropology Interdisciplinary Track),140,University of California-Davis,Biochemical Engineering,372,"California State University, Bakersfield",Biology (Biotechnology),477,"California State University, Long Beach",Aerospace Engineering (Aerospace Engineering - General),29,University of California-Irvine,Electrical Engineering,1458,"California State University, Monterey Bay",Communication Design (Interactive Media and Game Design),1081,"California State Polytechnic University, Pomona",Architecture (Architecture - General),199,San Diego State University,Brazilian Studies (Brazilian Studies - General),548,"California State University, East Bay",Ethnic Studies (Genders and Sexualities in Communities of Color),1702,University of California-Berkeley,Philosophy,3069,San Diego State University,Asian Studies (Chinese Studies),348,University of California-Los Angeles,Anthropology,113,"California State University, Chico",Humanities (Humanities - General),2090,San Francisco State University,Broadcast and Electronic Communication Arts (Broadcast and Electronic Communication Arts - General),549,University of California-San Diego,Political Science: International Relations,3279,University of California-San Diego,Anthropology (Sociocultural Anthropology),160,University of California-Los Angeles,Asian Languages and Linguistics,340,"California State University, San Bernardino",Administration (Human Resource Management),10,"California State University, Sacramento",Business Administration (Accountancy),563,"California State University, Fullerton",Business Administration (Marketing and Information Systems),720,"California State University, Chico",Construction Management (Construction Management - General),1225,University of California-Davis,Food Science,1759,University of California-Los Angeles,Linguistics and Psychology,2569,"California State University, Sacramento",Communication Sciences and Disorders (Communication Sciences and Disorders-General),1086,"California State University, Sacramento",Kinesiology (Athletic Administration),2281,"California State Polytechnic University, Pomona",Mathematics (Applied Mathematics/Statistics),2655,University of California-Davis,Applied Mathematics,180,"California State University, Bakersfield",Business Administration (Economics),614,,
"California State University, Bakersfield",Agricultural Business (Agricultural Business - General),56,University of California-Davis,Agricultural and Environmental Education,53,"California State University, Chico",Animal Science (Animal Science - General),96,University of California-Los Angeles,Art,204,"California State University, East Bay",Art (Design),243,"California State University, Northridge",Music (Jazz Studies),2847,"California State University, Northridge",Cinema and Television Arts (Entertainment Media Management),983,"California State University, Fullerton",Art (Studio/Performance) (Drawing and Painting),290,"California State University, Fresno",Agricultural Science/Education (Agricultural Communications),66,"California State University, Fresno",Criminology (Criminology - Law Enforcement),1263,"California State University, Fullerton",Human Services (Elementary Education),2084,"California State University, Chico",Plant and Soil Science (Land and Soil Resource Management),3209,University of California-Berkeley,Astrophysics,356,"California State Polytechnic University, Humboldt",Anthropology (Biological Anthropology),141,University of California-Los Angeles,Biochemistry,373,"California State University, Northridge",Biology (Biotechnology/Medical Technology),478,"California State Polytechnic University, Pomona",Aerospace Engineering (Aerospace Engineering - General),30,University of California-Los Angeles,Electrical Engineering,1459,"California State University, Chico",Computer Animation and Game Development (Animation Production),1130,"California Polytechnic State University, San Luis Obispo",Architecture (Architecture - General),200,University of California-Berkeley,Celtic Studies,800,University of California-Davis,"Gender, Sexuality, and Women's Studies",1806,University of California-Davis,Philosophy,3070,"California State University, Sacramento",Asian Studies (Chinese),349,University of California-Merced,Anthropology,114,San Diego State University,Humanities (Humanities - GENERAL),2091,San Diego State University,Business Administration (Marketing (Integrated Marketing Communications)),718,San Diego State University,International Security and Conflict Resolution (Cooperation Conflict and Conflict Resolution),2201,University of California-San Diego,International Studies: Sociology,2221,San Francisco State University,Chinese (Chinese Literature and Linguistics),971,"California State University, San Bernardino",Administration (Management),14,"California State University, Fullerton",Business Administration (Accounting and Business Analytics),564,"California State University, East Bay",Business Administration (Marketing Management),721,"California State University, East Bay",Construction Management (Construction Management - General),1226,"California Polytechnic State University, San Luis Obispo",Food Science (Advanced Food Science),1760,University of California-Los Angeles,Psychobiology (Pre),3286,"California State University, Fullerton",Communicative Disorders (Communicative Disorders - General),1107,"California State University, Sacramento",Kinesiology (Athletic Care),2282,"California State University, Fullerton",Mathematics (Probability and Statistics),2699,San José State University,Applied Mathematics (Applied and Computational Mathematics),181,"California State Polytechnic University, Humboldt",Business Administration (Economics),615,,
"California State University, Chico",Agricultural Business (Agricultural Business - General),57,University of California-Davis,Agricultural and Environmental Education,54,"California Polytechnic State University, San Luis Obispo",Animal Science (Animal Science - General),97,University of California-Santa Barbara,Art,205,"California State University, East Bay",Art (Graphic Design),254,"California State University, Sacramento",Music (Jazz Studies),2848,"California State University, Northridge",Cinema and Television Arts (Film Production),984,"California State University, Fullerton",Art (Studio/Performance) (Entertainment Art/Animation),291,"California State University, Fresno",Agricultural Science/Education (Teacher Preparation),67,"California State University, Fresno",Criminology (Criminology-Law Enforcement),1265,"California State University, Dominguez Hills",Human Services (General),2085,"California State Polytechnic University, Humboldt",Rangeland Resource Science (Wildland Soil Science),3398,University of California-Los Angeles,Astrophysics,357,California State University San Marcos,Anthropology (Biological Anthropology),142,University of California-Riverside,Biochemistry,374,University of California-Davis,Biotechnology,541,San Diego State University,Aerospace Engineering (Aerospace Engineering - General),31,University of California-Riverside,Electrical Engineering,1460,"California State University, Chico",Computer Animation and Game Development (Game Development),1131,"California State University, Chico",Art (Interior Architecture),261,University of California-Berkeley,Celtic Studies,801,University of California-Irvine,Gender and Sexuality Studies,1807,University of California-Irvine,Philosophy,3071,University of California-Davis,Chinese,967,University of California-Riverside,Anthropology,115,San Francisco State University,Humanities (Humanities - General),2092,University of California-Davis,Communication,1053,San Diego State University,International Security and Conflict Resolution (Environment and Security),2202,University of California-Santa Cruz,Latin American and Latino Studies/ Sociology,2379,"California State University, Dominguez Hills",English (Language and Linguistics),1544,"California State University, San Bernardino",Administration (Management),15,San José State University,Business Administration (Accounting Information Systems),565,"California State Polytechnic University, Pomona",Business Administration (Marketing Management),722,"California State University, Fresno",Construction Management (Construction Management - General),1227,"California Polytechnic State University, San Luis Obispo",Food Science (Culinology),1761,University of California-Santa Barbara,Psychological and Brain Sciences,3287,"California State University, Los Angeles",Communicative Disorders (General),1108,"California State University, Sacramento",Kinesiology (Athletic Coaching Education),2283,"California State University, Bakersfield",Mathematics (Statistics),2709,San Francisco State University,Applied Mathematics (Applied Mathematics - General),182,"California State University, Fresno",Business Administration (Real Estate and Urban Land Economics),759,,
"California Polytechnic State University, San Luis Obispo",Agricultural Business (Agricultural Business - General),58,University of California-Davis,Agricultural and Environmental Education,55,"California State Polytechnic University, Pomona",Animal Science (Animal Science),98,University of California-Santa Barbara,Art,206,"California State University, Long Beach",Art (Graphic Design),255,San Diego State University,Music (Jazz Studies),2849,"California State University, Northridge",Cinema and Television Arts (Media Theory and Criticism),985,"California State University, Fullerton",Art (Studio/Performance) (Glass),292,"California State University, Stanislaus",Agriculture (Agricultural Education),70,University of California-Santa Barbara,History of Public Policy and Law,2039,"California State University, Fullerton",Human Services (Human Services - General),2086,University of California-Los Angeles,Earth and Environmental Science,1343,"California State University, Fresno",Biomedical Physics (Biomedical Physics),535,University of California-San Diego,Anthropology (Biological Anthropology),143,University of California-Santa Barbara,Biochemistry,375,University of California-Davis,Biotechnology,542,San José State University,Aerospace Engineering (Aerospace Engineering BS + MS),32,University of California-Riverside,Electrical Engineering,1461,University of California-Irvine,Computer Game Science,1155,San Diego State University,Art (Interior Architecture),262,University of California-Los Angeles,Central and East European Languages and Cultures,804,University of California-Riverside,Gender and Sexuality Studies,1808,University of California-Los Angeles,Philosophy,3072,University of California-Los Angeles,Chinese,968,University of California-Santa Barbara,Anthropology,116,"California State University, Sacramento",Humanities (Humanities),2093,University of California-Davis,Communication,1054,San Diego State University,International Security and Conflict Resolution (Justice in the Global System),2203,University of California-Santa Cruz,Latin American and Latino Studies/Sociology,2381,"California State University, San Bernardino",English (Linguistics),1547,"California State University, San Bernardino",Administration (Supply Chain Management),19,"California State University, Bakersfield",Business Administration (Accounting),566,"California Polytechnic State University, San Luis Obispo",Business Administration (Marketing Management),723,"California State University, Sacramento",Construction Management (Construction Management - General),1228,"California State Polytechnic University, Pomona",Food Science and Technology (Culinology),1762,California State University San Marcos,Psychological Science (General),3288,"California State University, Northridge",Communicative Disorders (General),1109,"California State University, Los Angeles",Kinesiology (Community Leadership of Physical Activity),2284,California State University Channel Islands,Mathematics (Statistics),2710,University of California-Los Angeles,Atmospheric and Oceanic Sciences/ Mathematics,361,University of California-Irvine,Business Economics,776,,
"California State University, Fresno",Agricultural Business (Agricultural Business),59,"California Polytechnic State University, San Luis Obispo",Anthropology-Geography (Environmental Studies and Sustainability),161,"California State University, Fresno",Animal Science (Dairy Science),99,University of California-Santa Cruz,Art,207,San Diego State University,Art (Graphic Design),256,San José State University,Music (Jazz Studies),2850,"California State University, Northridge",Cinema and Television Arts (Screenwriting),986,"California State University, Fullerton",Art (Studio/Performance) (Graphic and Interactive Design),293,"California State University, Bakersfield",Art (Art Education),216,"California Polytechnic State University, San Luis Obispo",Interdisciplinary Studies (Ethics Law and Social Justice),2151,"California State University, Dominguez Hills",Human Services (Mental Health Recovery),2087,University of California-Los Angeles,Earth and Environmental Science,1344,University of California-Los Angeles,Biophysics,538,"California State University, Dominguez Hills",Anthropology (Biological),144,"California State University, Bakersfield",Biochemistry (Biochemistry - General),376,University of California-Davis,Biotechnology,543,San José State University,Aerospace Engineering (Aerospace Engineering),33,University of California-San Diego,Electrical Engineering,1462,"California State University, Monterey Bay",Computer Science (Game Development),1191,University of California-Santa Barbara,History of Art and Architecture,2037,University of California-Irvine,European Studies,1711,University of California-Berkeley,Gender and Women's Studies,1809,University of California-Merced,Philosophy,3073,University of California-Santa Barbara,Chinese,969,University of California-Santa Cruz,Anthropology,117,San José State University,Humanities (Liberal Arts),2094,University of California-Los Angeles,Communication,1055,"California State University, Dominguez Hills",Negotiation Conflict Resolution and Peacebuilding (Negotiation Conflict Resolution and Peacebuilding - General),2956,"California State University, Stanislaus",Liberal Studies (Sociology),2512,San Francisco State University,English (Linguistics),1548,"California State University, San Bernardino",Administration (Supply Chain Management),20,"California State University, Chico",Business Administration (Accounting),567,"California State University, Bakersfield",Business Administration (Marketing),724,San Diego State University,Construction Management (Construction Management - General),1229,"California State University, Los Angeles",Food Science and Technology (General),1763,University of California-Berkeley,Psychology,3289,San José State University,Communicative Disorders and Sciences (Communicative Disorders and Sciences),1110,"California State University, Northridge",Kinesiology (Dance),2285,"California State University, Chico",Mathematics (Statistics),2711,"California State University, Long Beach",Economics (Mathematical Economics and Economic Theory),1434,University of California-Riverside,Business Economics,777,,
